i3_avg,i3_min,i3_max,m3_avg,m3_min,m3_max,r3_avg,r3_min,r3_max,p3_avg,p3_min,p3_max,pa1_avg,pa1_min,pa1_max,pa2_avg,pa2_min,pa2_max,pa3_avg,pa3_min,pa3_max,pa4_avg,pa4_min,pa4_max,displacement_avg,displacement_min,displacement_max,label
8.037905592164494,2.5,21.303943153905905,16.836725231383884,2.5,60.67605067437729,56.8963075986365,2.5,111.99436258720336,6.91117725471647,2.5,15.011111344391553,8.745418289930186,4.045204371015104,15.47681154676912,2.5,2.5,2.5,27.54450850238669,3.318311322497501,57.15696771489336,25.22438412901695,7.0614867929927,42.8795611039132,-0.14280174359175354,-0.19470561164599648,0.0,firm
8.525406748856566,2.5,21.545746341626757,28.1426067573251,2.5,56.974209119773064,89.2933487797426,2.5,195.99058201354194,7.930121468212358,2.5,26.72457623814151,4.788186949066613,2.7090262097142577,8.551851799392027,2.5,2.5,2.5,36.23369950647114,4.265717951379869,68.01215339975023,20.54679688190596,4.014419372722447,42.619172876551985,-0.1535374031393203,-0.1683022473695109,-0.14182472685928066,firm
3.670690034259468,2.5,5.803096831810076,30.58677818812149,5.438129987022336,51.71766265271378,39.587650764099706,2.5,108.40686986302036,2.5380408625028212,2.5,3.2538587849268374,6.008184454907399,3.883987210067423,10.210340313829109,2.5,2.5,2.5,28.639745728756953,2.944821509864831,60.19104666480233,28.54647696761378,5.3144320869892665,56.36394397044314,-0.15297386657363665,-0.20525593233414796,-0.12905267311171054,firm
19.116305804156983,6.703006577408615,40.500314771601616,22.65444766689182,2.5,52.912609033958034,85.39833837851944,2.5,149.16666666666666,12.391147392516837,2.5,22.442038061748875,6.305266253070644,3.007970805623657,14.436708315597164,2.5057538740468708,2.5,2.5723341541365903,19.018658872600312,4.430145774215506,30.748905054783712,38.029759355445925,9.11101518312075,53.81264888506521,-0.13790892885985273,-0.14402547859263382,-0.13057987987387115,firm
8.355127194045956,3.1468805177108963,33.80510581155691,48.74140095171558,2.5,89.98561496352687,34.150988340638236,2.5,104.78676834709678,2.5476915365346215,2.5,3.269000340715794,8.929669671135272,2.6713849390246196,21.11916882648502,2.589054440888516,2.5,3.432516381282015,29.77399486070098,2.936577258248144,73.20085767306068,14.69012070909955,5.125251487270855,26.05959870606734,-0.15002164495880613,-0.18137829044174045,-0.13099150601518716,firm
58.85225030344176,6.41749015375964,109.50947677473793,43.57772435881854,6.276644004318928,69.7987302186542,85.09697782095851,2.5,149.16666666666666,2.5537549460512885,2.5,3.2145860865571625,4.074989903266031,2.738443633067705,6.241565302781091,2.5,2.5,2.5,34.627827568753226,5.18440169877087,61.77533318203539,16.481686920906103,3.4941826768440856,38.1512094188661,-0.14423970679343498,-0.16928878617457693,-0.13376233356505446,firm
80.15883224226631,4.324499211445905,140.66436120833194,46.53877746265966,2.5,90.24599860296007,106.44439287856531,2.5,158.56244397399877,2.7779865015486425,2.5,4.969806936311392,3.4318194582083326,2.5,5.623780694882657,2.5037408515940243,2.5,2.5723341541365903,25.944785520568427,4.521326917761054,66.01021513801572,16.26830817856952,5.078517335060935,29.997840644430752,-0.15547289265449804,-0.17892520734617043,-0.1400924434781065,firm
7.28739424242739,2.5,12.405939050245344,29.856434215337597,2.5,60.26671948459247,66.93517289624268,2.5,135.15014775851083,2.502171727326578,2.5,2.5846973657365457,5.95919936892592,2.765982464945749,15.111362288290637,2.5,2.5,2.5,23.187671713874387,3.3446125551794497,46.21265760144151,35.66853819288997,6.048176994605506,66.17846678627033,-0.16941610836756532,-0.19294629614972708,-0.1357205061830602,firm
5.983678867464949,2.5,10.214892049276843,13.920368850728954,2.5,28.132389615206648,60.26299939404085,2.5,120.72136903979963,3.3524215858195485,2.5,7.2402592463879,5.511147176077446,2.765982464945749,13.350694517685163,2.519490606963341,2.5,2.678349699771092,11.65436280198055,2.944002325691335,20.929053111524073,20.0118341834143,4.360811357014691,37.01541385636963,-0.18356271318141218,-0.21486919381841585,-0.15963100882775366,firm
28.16180058583762,8.680384211020025,70.03595536685577,60.11185281720114,7.511985096143664,89.17963635249846,67.0073355411677,2.5,200.1481108122432,2.5,2.5,2.5,9.272862300473003,5.2538762026112975,16.154133943852013,2.5266784532864874,2.5,2.686144960479511,35.61365625118674,7.226254017023892,54.87980628501146,24.183888648596024,12.68689594512645,41.56708756337285,-0.13951462066045367,-0.16192852092056534,-0.12678750376496137,firm
